x,y
246.127533,207.1044922
248.0680847,213.3564606
240.76651,208.680954
237.1768646,211.9907227
230.4697418,211.7701569
229.3731079,201.8575592
230.5999298,191.9967651
367.2362366,193.3885498
258.1307526,194.638031
259.6905823,204.4984283
263.6908722,197.4624634
278.5566406,195.7064972
281.1009827,202.7618103
280.8578186,193.4324036
233.7012024,201.7019501
238.9169312,198.341217
509.449646,266.7929382
511.4497375,276.5088196
511.8051453,286.4981384
511.8295898,296.4953918
513.6119385,302.6150208
515.9256287,307.6043396
510.608429,315.9801025
506.7527161,309.4458923
507.7634888,299.5039978
507.9245605,289.5098572
507.489563,279.5238037
505.9685364,269.6647949
545.2550049,271.9117432
544.3152466,281.8477783
542.4736328,291.6734009
537.9697266,292.5824585
539.8224487,282.7603149
541.3040161,272.8812714
412.9402161,272.7560577
403.9523621,274.8796692
402.8380737,281.8427124
408.9132996,285.1850891
415.5486755,287.45047
406.2124634,290.7481689
403.9900513,299.2629089
403.0756531,309.2177124
402.0331421,319.1594543
398.7263794,328.3381042
395.7715454,321.2879333
397.9686584,311.5368652
399.4205627,301.6495056
399.7458191,291.6650696
398.5185852,281.7567139
395.7000122,272.1711273
404.384491,270.3659973
304.787323,281.0862427
306.1799011,290.9828186
307.0632629,300.9404907
308.0473022,310.8865662
310.7473145,320.4687805
306.1984253,325.2623291
303.1827087,315.8751221
302.2758179,305.9218445
301.6764221,295.9425049
299.8888855,291.605957
297.7285767,301.3427124
297.6018982,311.3356018
297.1277161,321.3070374
291.7676086,328.4826355
287.7680054,320.2077026
287.3428345,310.2201538
286.9227295,300.2333984
284.8755798,290.4741211
282.715332,299.9318237
280.3902893,309.6547546
278.3267517,319.4356689
276.1889648,329.1976013
270.0597382,331.8988953
272.4053192,322.2061462
275.1948547,312.605896
277.7600403,302.9441223
280.0516663,293.2130127
282.2254333,283.4573364
288.0272522,287.3053284
290.9466553,296.8448486
292.2979431,303.5880432
294.0327454,293.7518005
296.9393311,284.1919861
303.2230225,278.4938049
234.5333557,287.9883728
238.8791504,296.7492065
235.6296692,305.9975891
231.8331757,313.4893799
237.91745,317.4568481
242.4277191,308.5574646
245.3745422,299.0089722
249.8006744,295.3088379
247.7952271,305.0979309
244.7507019,314.6082458
239.9295349,323.3482666
245.2680969,331.5602722
250.0570374,340.2912598
245.7812958,343.3607788
240.9592133,334.6063232
235.2279816,329.5254211
228.0990448,336.4718628
